Input,Rough,Coarse,1:1,Fine,Very Fine,admin_only,category
Janitor Keycard,Destroyed,Destroyed,Zone Manager Keycard,Scientist Keycard,"Scientist Keycard, (50%), Research Supervisor Keycard, (50%)",False,Keycards
Scientist Keycard,"Destroyed (50%), Janitor Keycard, (50%)",Janitor Keycard,Zone Manager Keycard,Research Supervisor Keycard,"Scientist Keycard, (33%), Research Supervisor Keycard, (33%), Facility Manager Keycard, (33%)",False,Keycards
Research Supervisor Keycard,"Janitor Keycard, (50%), Scientist Keycard, (50%)",Scientist Keycard,Guard Keycard,Facility Manager Keycard,"Research Supervisor Keycard, (50%), Facility Manager Keycard, (50%)",False,Keycards
Guard Keycard,"Janitor Keycard, (50%), Scientist Keycard, (50%)",Scientist Keycard,Research Supervisor Keycard,Operative Keycard,"Guard Keycard, (33%), Operative Keycard, (33%), Captain Keycard, (33%)",False,Keycards
Operative Keycard,"Guard Keycard, (50%), Destroyed (50%)",Guard Keycard,Facility Manager Keycard,Captain Keycard,"Operative Keycard, (33%), Captain Keycard, (33%), O5 Keycard, (33%)",False,Keycards
Captain Keycard,Operative Keycard,Operative Keycard,CI Access Device,O5 Keycard,"Destroyed (25%), O5 Keycard, (75%)",False,Keycards
Zone Manager Keycard,"Janitor Keycard, (50%), Scientist Keycard, (50%)",Scientist Keycard,Guard Keycard,Facility Manager Keycard,"Zone Manager Keycard, (40%), Facility Manager Keycard, (40%), CI Access Device, (20%)",False,Keycards
Facility Manager Keycard,Zone Manager Keycard,Captain Keycard,CI Access Device,O5 Keycard,"Destroyed (25%), O5 Keycard, (75%)",False,Keycards
CI Access Device,Guard Keycard,Operative Keycard,Captain Keycard,O5 Keycard,"Destroyed (25%), O5 Keycard, (75%)",False,Keycards
O5 Keycard,Guard Keycard,"Facility Manager Keycard, (50%), Captain Keycard, (50%)",O5 Keycard,"Destroyed (50%), O5 Keycard, (50%)","Destroyed (75%), O5 Keycard, (25%)",False,Keycards
COM-15,"Destroyed (50%), 9x19mm (50%) (15 rounds)","Randomized Attachments (50%), 9x19mm (50%) (15 rounds)",Randomized Attachments,COM-18,".44 Revolver, (40%), FSP-9, (35%), COM-45, (25%)",False,Standard Weaponry
