Input,admin_only,Rough Item,Rough Chance,Rough Modifier,Coarse Item,Coarse Chance,Coarse Modifier,1:1 Item,1:1 Chance,1:1 Modifier,Fine Item,Fine Chance,Fine Modifier,Very Fine Item,Very Fine Chance,Very Fine Modifier
Janitor Keycard,False,Destroyed,1.0,,Destroyed,1.0,,Zone Manager Keycard,1.0,,Scientist Keycard,1.0,,Scientist Keycard,0.5,
Janitor Keycard,False,,,,,,,,,,,,,Research Supervisor Keycard,0.5,
Scientist Keycard,False,Destroyed,0.5,,Janitor Keycard,1.0,,Zone Manager Keycard,1.0,,Research Supervisor Keycard,1.0,,Scientist Keycard,0.33,
Scientist Keycard,False,Janitor Keycard,0.5,,,,,,,,,,,Research Supervisor Keycard,0.33,
Scientist Keycard,False,,,,,,,,,,,,,Facility Manager Keycard,0.33,
Research Supervisor Keycard,False,Janitor Keycard,0.5,,Scientist Keycard,1.0,,Guard Keycard,1.0,,Facility Manager Keycard,1.0,,Research Supervisor Keycard,0.5,
Research Supervisor Keycard,False,Scientist Keycard,0.5,,,,,,,,,,,Facility Manager Keycard,0.5,
Guard Keycard,False,Janitor Keycard,0.5,,Scientist Keycard,1.0,,Research Supervisor Keycard,1.0,,Operative Keycard,1.0,,Guard Keycard,0.33,
Guard Keycard,False,Scientist Keycard,0.5,,,,,,,,,,,Operative Keycard,0.33,
Guard Keycard,False,,,,,,,,,,,,,Captain Keycard,0.33,
Operative Keycard,False,Guard Keycard,0.5,,Guard Keycard,1.0,,Facility Manager Keycard,1.0,,Captain Keycard,1.0,,Operative Keycard,0.33,
Operative Keycard,False,Destroyed,0.5,,,,,,,,,,,Captain Keycard,0.33,
Operative Keycard,False,,,,,,,,,,,,,O5 Keycard,0.33,
Captain Keycard,False,Operative Keycard,1.0,,Operative Keycard,1.0,,CI Access Device,1.0,,O5 Keycard,1.0,,Destroyed,0.25,
Captain Keycard,False,,,,,,,,,,,,,O5 Keycard,0.75,
Zone Manager Keycard,False,Janitor Keycard,0.5,,Scientist Keycard,1.0,,Guard Keycard,1.0,,Facility Manager Keycard,1.0,,Zone Manager Keycard,0.4,
Zone Manager Keycard,False,Scientist Keycard,0.5,,,,,,,,,,,Facility Manager Keycard,0.4,
Zone Manager Keycard,False,,,,,,,,,,,,,CI Access Device,0.2,
Facility Manager Keycard,False,Zone Manager Keycard,1.0,,Captain Keycard,1.0,,CI Access Device,1.0,,O5 Keycard,1.0,,Destroyed,0.25,
Facility Manager Keycard,False,,,,,,,,,,,,,O5 Keycard,0.75,
CI Access Device,False,Guard Keycard,1.0,,Operative Keycard,1.0,,Captain Keycard,1.0,,O5 Keycard,1.0,,Destroyed,0.25,
CI Access Device,False,,,,,,,,,,,,,O5 Keycard,0.75,
O5 Keycard,False,Guard Keycard,1.0,,Facility Manager Keycard,0.5,,O5 Keycard,1.0,,Destroyed,0.5,,Destroyed,0.75,
O5 Keycard,False,,,,Captain Keycard,0.5,,,,,O5 Keycard,0.5,,O5 Keycard,0.25,
COM-15,False,Destroyed,0.5,,COM-15,0.5,,COM-15,1.0,,COM-18,1.0,,.44 Revolver,0.4,
COM-15,False,9x19mm,0.5,(15 rounds),9x19mm,0.5,(15 rounds),,,,,,,FSP-9,0.35,
COM-15,False,,,,,,,,,,,,,COM-45,0.25,
COM-18,False,9x19mm,0.5,(15 rounds),COM-15,1.0,,COM-18,1.0,,FSP-9,1.0,,Crossvec,0.55,
COM-18,False,9x19mm,0.5,(30 rounds),,,,,,,,,,.44 Revolver,0.45,
